      1.0000E+02      1.0000E-09      2.9101E+02
      1.0000E+02      1.1220E-09      2.9101E+02
      1.0000E+02      1.2589E-09      2.9101E+02
      1.0000E+02      1.4125E-09      2.9101E+02
      1.0000E+02      1.5849E-09      2.9101E+02
      1.0000E+02      1.7783E-09      2.9101E+02
      1.0000E+02      1.9953E-09      2.9101E+02
      1.0000E+02      2.2387E-09      2.9101E+02
      1.0000E+02      2.5119E-09      2.9101E+02
      1.0000E+02      2.8184E-09      2.9101E+02
      1.0000E+02      3.1623E-09      2.9101E+02
      1.0000E+02      3.5481E-09      2.9101E+02
      1.0000E+02      3.9811E-09      2.9101E+02
      1.0000E+02      4.4668E-09      2.9101E+02
      1.0000E+02      5.0119E-09      2.9101E+02
      1.0000E+02      5.6234E-09      2.9101E+02
      1.0000E+02      6.3096E-09      2.9101E+02
      1.0000E+02      7.0795E-09      2.9101E+02
      1.0000E+02      7.9433E-09      2.9101E+02
      1.0000E+02      8.9125E-09      2.9101E+02
      1.0000E+02      1.0000E-08      2.9101E+02
      1.0000E+02      1.1220E-08      2.9101E+02
      1.0000E+02      1.2589E-08      2.9101E+02
      1.0000E+02      1.4125E-08      2.9101E+02
      1.0000E+02      1.5849E-08      2.9101E+02
      1.0000E+02      1.7783E-08      2.9101E+02
      1.0000E+02      1.9953E-08      2.9101E+02
      1.0000E+02      2.2387E-08      2.9101E+02
      1.0000E+02      2.5119E-08      2.9101E+02
      1.0000E+02      2.8184E-08      2.9101E+02
      1.0000E+02      3.1623E-08      2.9101E+02
      1.0000E+02      3.5481E-08      2.9101E+02
      1.0000E+02      3.9811E-08      2.9101E+02
      1.0000E+02      4.4668E-08      2.9101E+02
      1.0000E+02      5.0119E-08      2.9101E+02
      1.0000E+02      5.6234E-08      2.9101E+02
      1.0000E+02      6.3096E-08      2.9101E+02
      1.0000E+02      7.0795E-08      2.9101E+02
      1.0000E+02      7.9433E-08      2.9101E+02
      1.0000E+02      8.9125E-08      2.9101E+02
      1.0000E+02      1.0000E-07      2.9101E+02
      1.0000E+02      1.1220E-07      2.9101E+02
      1.0000E+02      1.2589E-07      2.9101E+02
      1.0000E+02      1.4125E-07      2.9101E+02
      1.0000E+02      1.5849E-07      2.9101E+02
      1.0000E+02      1.7783E-07      2.9101E+02
      1.0000E+02      1.9953E-07      2.9101E+02
      1.0000E+02      2.2387E-07      2.9101E+02
      1.0000E+02      2.5119E-07      2.9101E+02
      1.0000E+02      2.8184E-07      2.9101E+02
      1.0000E+02      3.1623E-07      2.9101E+02
      1.0000E+02      3.5481E-07      2.9101E+02
      1.0000E+02      3.9811E-07      2.9101E+02
      1.0000E+02      4.4668E-07      2.9101E+02
      1.0000E+02      5.0119E-07      2.9101E+02
      1.0000E+02      5.6234E-07      2.9101E+02
      1.0000E+02      6.3096E-07      2.9101E+02
      1.0000E+02      7.0795E-07      2.9101E+02
      1.0000E+02      7.9433E-07      2.9101E+02
      1.0000E+02      8.9125E-07      2.9101E+02
      1.0000E+02      1.0000E-06      2.9101E+02
      1.0000E+02      1.1220E-06      2.9102E+02
      1.0000E+02      1.2589E-06      2.9102E+02
      1.0000E+02      1.4125E-06      2.9102E+02
      1.0000E+02      1.5849E-06      2.9102E+02
      1.0000E+02      1.7783E-06      2.9102E+02
      1.0000E+02      1.9953E-06      2.9102E+02
      1.0000E+02      2.2387E-06      2.9102E+02
      1.0000E+02      2.5119E-06      2.9102E+02
      1.0000E+02      2.8184E-06      2.9103E+02
      1.0000E+02      3.1623E-06      2.9103E+02
      1.0000E+02      3.5481E-06      2.9103E+02
      1.0000E+02      3.9811E-06      2.9103E+02
      1.0000E+02      4.4668E-06      2.9104E+02
      1.0000E+02      5.0119E-06      2.9104E+02
      1.0000E+02      5.6234E-06      2.9104E+02
      1.0000E+02      6.3096E-06      2.9105E+02
      1.0000E+02      7.0795E-06      2.9105E+02
      1.0000E+02      7.9433E-06      2.9106E+02
      1.0000E+02      8.9125E-06      2.9106E+02
      1.0000E+02      1.0000E-05      2.9107E+02
      1.0000E+02      1.1220E-05      2.9108E+02
      1.0000E+02      1.2589E-05      2.9108E+02
      1.0000E+02      1.4125E-05      2.9109E+02
      1.0000E+02      1.5849E-05      2.9110E+02
      1.0000E+02      1.7783E-05      2.9111E+02
      1.0000E+02      1.9953E-05      2.9113E+02
      1.0000E+02      2.2387E-05      2.9114E+02
      1.0000E+02      2.5119E-05      2.9116E+02
      1.0000E+02      2.8184E-05      2.9118E+02
      1.0000E+02      3.1623E-05      2.9120E+02
